"Scan","Time(sec)","O 130.603","Ar 425.118","Cl 134.724","Cl 135.165","Cl 136.345","Cl 133.573","Cl 139.653","Br 154.065","Br 153.174","Br 148.845","Br 144.990","Br 157.480","Br 163.340","I 178.276","I 142.549","I 161.760","I 183.038","I 179.909","Analog_Temp"
556,55.6,11878,2327557,8492,6194,5810,5669,-558,-1142,-2341,-1184,-1058,-3264,-372,-501,-726,275,2939,578,-144346.778072043
557,55.7,10851,2287022,3789,4342,2164,2976,461,-4881,-2831,1553,573,-3984,-68,-644,-811,1189,-4335,-3606,-144694.302720014
558,55.8,14748,2269025,7026,6353,5074,3428,179,-240,-439,-2480,-943,2443,-244,-529,938,2028,2129,549,-143651.728776102
559,55.9,6676,2317408,5886,2025,2960,3332,-3465,-268,-2143,-2455,-171,1447,-322,-948,168,1400,-1825,-765,-143651.728776102
560,56,8378,2302655,6967,2683,2276,1210,-1098,534,-1269,562,1095,-48,2219,-4448,958,244,2887,-1730,-143999.253424072
561,56.1,6827,2343843,8015,1461,6241,2706,-781,-3750,-2565,348,2744,4229,407,4594,1053,3939,4701,3396,-143999.253424072
562,56.2,6412,2267829,3425,3408,4524,1629,1557,2670,1247,-351,2882,1789,-518,-1163,-1525,924,-583,-1331,-143999.253424072
563,56.3,5683,2271667,555,2315,-2525,3049,-2690,-1294,2502,27,2496,-3279,-567,1278,3209,289,4903,-1780,-143999.253424072
564,56.4,9074,2266151,1264,4001,5642,1966,1877,897,-348,-413,793,470,-2492,1194,913,91,1672,-1885,-143999.253424072
565,56.5,11187,2279941,11208,4693,8147,5347,2662,3768,-2605,-2422,1705,2216,-3669,266,-3022,2779,-1359,2734,-143999.253424072
566,56.6,8896,2302248,3873,2815,2839,5539,1207,203,-616,-553,1168,-2709,1168,1091,1067,-2901,1590,5363,-143999.253424072
567,56.7,8792,2306225,8367,6130,5770,6312,-1676,-15,489,687,-1861,461,-2264,-1657,-936,2041,6669,1018,-143651.728776102
568,56.8,11104,2267839,7915,6511,2159,5059,-349,-553,1377,4250,-1469,-264,705,-1500,1978,-1855,-2116,1602,-143999.253424072
569,56.9,7037,2234331,3537,3120,2084,2612,1408,-603,388,799,1032,2429,-3813,-2785,185,295,-1692,1095,-143651.728776102
570,57,4388,2263919,1942,5276,4252,2453,-2369,-2977,745,1422,3564,443,674,510,-2944,2394,2316,3457,-143651.728776102
571,57.1,7984,2254124,6232,2517,4461,1733,516,-3634,-588,1701,-5912,1079,3033,1020,-776,3816,2249,446,-144346.778072043
572,57.2,7017,2271011,3879,3480,5381,3033,4080,2558,-2877,395,-1764,150,-3310,-795,-1631,-1148,2742,57,-144346.778072043
573,57.3,7676,2267079,3574,3300,3945,4885,-2537,-3322,585,541,3207,1179,470,-2133,-4388,198,4349,-317,-143999.253424072
574,57.4,9935,2296062,3018,1787,1214,291,-247,175,-1902,351,-2061,-364,1182,-1616,-588,-398,4541,-1663,-143999.253424072
575,57.5,13673,2252001,9828,8489,7116,6245,-15,1936,-715,-1337,-1935,1666,3172,668,-566,-253,861,1267,-142609.154832189
576,57.6,13089,2256131,12774,6579,7305,10404,-5306,2022,542,-887,-2608,366,1551,2846,854,10,2561,2087,-142956.67948016
577,57.7,1063,2226863,-1795,-848,-2501,-5190,-133,-3629,3119,-3757,4971,-650,-1939,2398,2251,4904,240,3364,-142956.67948016
578,57.8,4741,2234610,3600,-1309,725,4193,-673,-717,-1434,190,2478,-499,1257,5678,1128,169,2197,1612,-142956.67948016
579,57.9,-19,2280986,-866,-2760,-2246,-3101,94,-1933,46,1427,2183,-2825,-1628,2378,-2426,3956,-2071,336,-142609.154832189
580,58,10326,2264377,9833,6740,4514,7555,940,-956,-3491,-1103,416,-4472,-961,175,-3643,-1825,-64,842,-143304.204128131
581,58.1,1450,2297282,2292,1284,-137,1246,-2108,-2028,-649,-977,291,-2515,2696,-637,886,3236,8822,1682,-143304.204128131
582,58.2,6371,2217102,6461,-466,82,2500,1701,2203,-90,-1227,-1377,1396,-2042,125,-3820,111,67,5528,-143304.204128131
583,58.3,2372,2235512,2189,-1375,-883,-915,-1907,719,346,1914,775,-1110,-1851,-27,-540,284,3774,217,-142609.154832189
584,58.4,860,2214017,-2899,-2696,-6117,-1289,508,34,2733,4295,1053,726,-2468,55,-1150,849,1154,-950,-142956.67948016
585,58.5,13469,2258294,10585,11289,7750,7626,-3421,-3205,-153,-894,-2086,-3027,-2034,-1391,2459,502,-1829,-4822,-142609.154832189
586,58.6,4391,2265995,4230,3692,2775,1096,3028,-1424,-2838,-1707,1690,2552,-838,-3247,-1210,-1167,-1958,-84,-142261.630184218
587,58.7,10022,2264805,7498,4913,6054,6407,-1748,6432,1074,1562,1770,1183,-832,1534,-1594,-1203,3027,1456,-142261.630184218
588,58.8,8096,2220525,12653,12713,8718,9799,2798,-2119,1294,1271,542,-6451,926,4922,-2916,2105,-1882,-406,-142261.630184218
589,58.9,9648,2230801,6073,5156,3462,3508,717,1882,2087,-691,141,558,-2385,2545,452,871,4383,1245,-142261.630184218
590,59,9464,2246503,10824,7034,6809,8023,616,4442,3519,627,581,2987,-484,1348,-1347,53,-1609,2200,-142261.630184218
591,59.1,6655,2227059,6760,4464,7564,3177,344,88,4028,-20,233,1095,-1138,2169,-2848,3169,-1603,1949,-141566.580888277
592,59.2,7288,2275117,4394,5603,3177,4180,-685,-1716,-4783,3489,677,-4071,1110,-133,2274,-2592,1064,-9,-141914.105536248
593,59.3,12180,2230503,7212,1883,10383,6235,-2502,4541,-3818,315,-1181,-536,438,836,-106,-1180,-1816,655,-141914.105536248
594,59.4,6931,2274954,5251,7199,3026,8518,989,-1873,-2755,-230,-1802,-1929,434,-703,-904,-3458,981,387,-141566.580888277
595,59.5,8562,2239587,3981,5295,2721,6485,385,418,-3464,-846,-3030,-1316,1116,169,-1592,-1540,2911,-22,-141566.580888277
596,59.6,9444,2251341,6870,6953,4700,3483,227,2898,-557,-3891,-2225,-1227,-671,-2869,2076,-5573,565,-1128,-141566.580888277
597,59.7,5780,2214679,3592,8893,5589,5066,-483,-3335,-1518,-1864,-490,-157,2449,-1953,551,-400,729,2573,-141566.580888277
598,59.8,6166,2234303,4486,1587,3408,1847,3078,333,139,1430,230,-362,4571,864,75,1730,-3299,375,-141566.580888277
599,59.9,5598,2249347,1989,2205,2744,4384,1429,-616,-3834,4370,1895,-898,-7085,-2832,-649,1524,-1990,-2826,-141566.580888277
600,60,7615,2258312,4372,-686,-5,4884,1831,-3793,3103,580,2631,804,2930,1163,2377,362,1216,1756,-141566.580888277
601,60.1,8638,2268928,6177,7592,5902,8343,-3382,-1303,1872,-2326,1594,-2878,1733,441,15,4261,-532,1172,-141566.580888277
602,60.2,5933,2226116,8490,3353,3207,3800,1602,-1545,-2061,-1799,-2468,-1092,-1292,-441,-41,2074,672,-2645,-141219.056240306
603,60.3,-691,2229802,-1312,-1815,-4444,1397,-867,4724,713,-176,1471,4090,-1217,-1153,2551,2026,5286,1151,-140871.531592335
604,60.4,5838,2213153,-2944,-1540,-3032,-2230,-1351,2401,1507,-4063,655,-2941,-641,2750,-577,650,2517,-541,-140176.482296394
605,60.5,3966,2221516,-549,-1791,1189,3200,-2272,1727,-1616,2022,3494,-1147,-2927,877,-1672,620,-96,-1112,-140176.482296394
606,60.6,5872,2259635,6807,7460,182,3441,1299,-2941,1481,1129,1316,-3889,-2890,-1415,904,2737,2422,-3736,-141566.580888277
607,60.7,7408,2261685,6567,5745,3992,4632,-962,-161,-1276,-76,4076,2024,443,3953,-655,3577,-2673,751,-141566.580888277
608,60.8,5895,2227336,5239,2452,3015,3886,-1199,1631,-3636,-948,-1333,-628,2996,2055,1549,1395,724,-4355,-139481.433000452
609,60.9,13270,2214752,9375,9003,9602,7094,-4238,-813,-528,1064,-276,3374,3843,-610,889,3060,2591,-1826,-139481.433000452
610,61,5726,2224529,3951,604,1119,3420,174,-2588,375,-1787,-1192,-3128,-1391,2258,-1575,3011,-2054,-750,-139828.957648423
611,61.1,8045,2209766,7057,9159,5261,4879,-1775,857,-3306,274,2980,1991,-27,2672,-2655,3351,2786,648,-139828.957648423
612,61.2,316,2267394,670,-1157,-441,-2384,529,927,1837,2160,384,463,1786,-1585,1576,2568,2062,1259,-140176.482296394
613,61.3,-906,2249462,1194,-838,-1012,-484,-1967,344,2360,2268,1383,-4194,1607,-19,-1612,2663,178,-3772,-139828.957648423
614,61.4,669,2270744,358,-2,-2578,-5818,1474,245,-2815,1530,1201,-1640,-2005,1031,265,-630,385,-104,-139828.957648423
615,61.5,5085,2193568,3472,168,5540,4745,-3437,-1045,79,-181,1503,4310,-246,-1316,-2136,-1150,2223,-441,-139481.433000452
616,61.6,6602,2236919,6910,4677,6112,4332,873,-80,3924,838,-1243,-2587,998,940,-703,-1363,2456,1609,-139481.433000452
617,61.7,-2212,2206436,-4319,-3654,-5115,-4756,1363,-6570,159,-490,2954,2952,-1451,-892,-7,1822,1773,-198,-139133.908352482
618,61.8,4981,2214461,5102,1753,14,2879,-115,-998,-660,1557,233,270,-4359,415,2065,311,4326,5309,-139133.908352482
619,61.9,3337,2236290,5313,535,2242,374,1382,2243,3942,-1706,-921,-255,-2809,-1022,1713,-859,-604,5421,-138786.383704511
620,62,3193,2245911,4774,4632,6516,315,-1346,-260,5038,-2658,3229,1625,1472,-2986,-1587,1738,888,-365,-138786.383704511
621,62.1,6649,2279509,6741,7430,3059,8120,-2256,581,87,-1557,2828,549,-87,113,-2660,4262,887,-1913,-138786.383704511
622,62.2,6063,2216441,4095,1854,295,-965,1015,-976,1376,1751,445,1310,-2206,-140,-1870,-1365,3225,1163,-138786.383704511
623,62.3,1460,2219254,1034,1504,-1504,-1855,-258,-2722,-4084,-964,1678,1963,-1777,2872,-1226,-921,-1810,-4579,-138786.383704511
624,62.4,1989,2225983,4186,-1162,-1357,-112,-1613,685,3418,-1171,422,2660,-529,-1561,-547,2266,2277,-1040,-139133.908352482
625,62.5,3249,2232199,3217,-1355,2050,1058,1435,2455,1504,2320,-1932,731,592,-384,263,2909,4804,-1761,-138786.383704511
626,62.6,7172,2260714,5738,3079,426,4299,3963,-1770,-2440,-940,-3930,-20,-1016,-792,2570,2163,6057,-2615,-138786.383704511
627,62.7,2771,2265250,1392,568,-1161,785,-1699,1209,-1370,798,-1692,-24,243,-642,3550,-918,2057,220,-139481.433000452
628,62.8,8959,2216909,9222,5128,6530,7101,5833,2830,-519,-246,539,-1086,32,2469,894,-2069,109,128,-138786.383704511
629,62.9,8142,2204648,6385,3275,4441,5266,2344,-566,4257,1023,-1442,-2006,3077,3928,2019,3233,655,1036,-138786.383704511
630,63,13765,2221265,13089,11012,12849,12260,2314,-3193,-1368,-854,-209,-573,680,1595,503,-434,-2533,153,-138438.85905654
631,63.1,9924,2204321,4561,2569,4270,2776,-2053,3296,-1443,-3011,-1034,-3978,-4553,-16,-2688,2193,1467,3019,-138438.85905654
632,63.2,3709,2275163,3522,1949,4261,593,-2074,-325,-3,21,-3238,5815,-1069,4218,-693,-28,1733,-2051,-137743.809760599
633,63.3,8937,2231724,6318,7360,7154,2634,33,1305,1202,-1069,970,-1260,-3893,586,572,4593,-1964,-64,-137743.809760599
634,63.4,7033,2270362,7897,763,5154,7657,-158,-770,3663,-1985,-345,-4688,629,-165,1908,1054,-262,1253,-137743.809760599
635,63.5,4818,2203483,1919,2400,1984,4747,-3770,-2100,-988,-995,-2595,-4030,161,1860,1268,-439,3790,646,-137743.809760599
636,63.6,3277,2231685,2393,320,-426,-803,454,4626,-861,3582,-498,-322,1019,1773,-1709,2758,1509,-1726,-138438.85905654
637,63.7,5610,2209104,5843,4964,7163,5203,-291,773,-3061,-3230,1903,1618,309,2524,2647,2319,-1358,580,-138438.85905654
638,63.8,8779,2203745,9195,4653,3912,4614,-1084,-2892,352,1395,3896,-3513,608,-1324,-682,-1866,1930,-1373,-138091.334408569
639,63.9,5713,2234529,4083,5035,6746,4398,1042,2817,635,441,-3717,867,-2598,1869,2381,4004,815,5219,-138091.334408569
640,64,1478,2232177,4649,3615,957,3545,-739,-3759,3738,2083,-966,-2111,-1300,885,778,-381,-28,-986,-137396.285112628
641,64.1,6301,2266475,2772,3522,3337,2154,-858,152,-3267,-713,-61,-203,-301,-1190,127,3494,963,1172,-138091.334408569
642,64.2,2469,2214985,3946,957,1636,1060,1608,1096,-1430,1899,1498,1395,2477,-1851,-1818,-1406,2543,1242,-137396.285112628
643,64.3,8863,2209968,9514,7927,8148,6463,1099,76,-2225,-1546,2423,5098,160,1667,364,2743,4165,1607,-137396.285112628
644,64.4,5199,2201901,4538,2244,1287,2663,-3356,3265,-2338,379,-115,-2028,-2592,-3691,1222,2765,7894,-851,-137743.809760599
645,64.5,11970,2232412,5765,6956,5639,5970,627,-2454,-1478,-589,2107,2582,-3612,-2674,-234,2749,-59,-1322,-137743.809760599
646,64.6,1215,2261641,1956,989,1038,-1324,-1181,1798,3855,1446,1146,-316,1191,2275,-131,901,721,-2303,-138091.334408569
647,64.7,10374,2272023,9954,8706,5895,9368,-361,-1542,1927,-5493,-31,-2160,-73,3284,-1795,4639,-353,-3672,-138091.334408569
648,64.8,862,2244029,464,-738,-5582,-1468,-4610,5509,-1714,2988,-2547,2176,683,1900,-3626,-332,-2203,5082,-136701.235816686
649,64.9,5123,2214199,7012,1789,941,6222,-1482,2590,-487,3982,-1268,-2525,1194,659,-947,2237,-1013,4585,-136701.235816686
650,65,7830,2202771,6398,6775,2440,2674,-2348,173,139,-200,626,-1190,1641,-1949,-2504,-479,1298,-143,-137048.760464657
651,65.1,1891,2198893,4305,1473,196,1461,225,-3969,-2447,-1994,2396,-578,-56,1360,314,-2717,654,-450,-137048.760464657
652,65.2,9646,2255332,6767,5267,5612,6664,-630,-3973,650,1046,1199,973,-1679,-2246,259,-1590,2538,-604,-136353.711168716
653,65.3,1817,2236911,3135,4788,-1914,-2612,1736,-1302,-1277,1237,405,-857,1234,820,3462,1666,1200,415,-136353.711168716
654,65.4,-2121,2271697,-1961,-3233,-4343,-2064,643,734,-1126,395,1353,1101,2790,1373,-1899,270,5135,1127,-137048.760464657
655,65.5,10196,2198968,9296,2779,7125,4597,1433,-2471,2621,1674,3542,-2986,1452,-779,580,-1011,-2986,3526,-137048.760464657
656,65.6,5322,2241865,3233,6408,3274,73,-3988,-2402,-43,-54,3631,-1503,289,-92,-825,-862,-3335,-27,-136353.711168716
657,65.7,4337,2222128,1586,-1003,2108,-1440,1546,-6690,-2040,1911,-1779,-2975,48,-258,-275,2268,-130,-18,-136353.711168716
658,65.8,9537,2221483,4112,7274,8490,6194,-1310,-233,-1592,245,-1877,6547,-2005,709,3659,2045,3808,1974,-136353.711168716
659,65.9,7112,2227408,4580,1883,2524,3073,1436,1360,-380,1068,1606,5341,-1855,1002,-680,-1357,-59,2594,-135658.661872774
660,66,4954,2234651,6743,6384,3037,6435,-2560,-1740,-904,-3218,-2537,-5031,-877,544,284,311,-1816,-496,-135658.661872774
661,66.1,-3176,2278835,-467,928,1319,-2380,-223,-5954,-196,2665,-621,-3142,5140,852,-1204,2203,6043,1333,-136006.186520745
662,66.2,4512,2219539,-1570,3340,-3530,-1929,866,62,-1214,253,-1659,-2066,1717,-308,831,2141,2707,196,-136006.186520745
663,66.3,1262,2228499,-230,1892,2169,793,1592,-2999,-123,497,3056,4402,-1574,-767,2826,-175,3194,-860,-135658.661872774
664,66.4,-1055,2204156,3727,868,-291,-113,-1596,-4608,1473,105,1516,217,1741,910,-2134,-119,769,1794,-135658.661872774
665,66.5,-41,2239834,1806,-952,-1347,-129,-352,-2538,81,979,494,3670,1004,1215,1882,1549,-391,17,-135658.661872774
666,66.6,10896,2244894,9668,5032,3777,4908,-2008,-3257,68,670,1523,-2984,1149,-4756,2752,-1768,1434,536,-135658.661872774
667,66.7,3548,2269458,5942,-1874,3640,822,1509,-2186,2268,-1000,936,870,3676,-3389,313,987,3728,-290,-136353.711168716
668,66.8,6774,2225361,7022,7760,7128,6487,3443,293,-1820,1260,2929,296,-5288,2065,188,3680,2998,3075,-135658.661872774
669,66.9,4595,2224866,216,5104,1039,1523,-1730,-2037,2389,-3001,3540,-2642,149,356,-889,3492,-2379,820,-135311.137224803
670,67,4175,2205408,7890,5084,2720,3364,882,-1224,1982,-1672,1983,1850,4396,5212,-725,3490,2815,2777,-135311.137224803
671,67.1,6788,2217605,8281,5748,4420,3977,-302,3113,2259,695,619,-1141,2117,440,-1708,-2837,4698,307,-135311.137224803
672,67.2,1893,2274598,3021,-2659,-1152,-4226,-1185,-1030,891,-2885,3017,1840,-3106,2634,-3371,61,5418,1502,-136353.711168716
673,67.3,3403,2210437,-456,2422,3579,961,472,-1838,921,1488,-603,-910,1430,1669,928,1270,2365,-642,-136353.711168716
674,67.4,-1938,2251729,-2055,-1499,-3879,-414,1078,490,2138,2391,1260,-1232,1273,-2694,544,1543,960,860,-136353.711168716
675,67.5,4412,2210183,6478,5691,5564,371,-316,-2537,-832,-4217,2067,-38,1535,-528,2105,1126,1302,5422,-134616.087928862
676,67.6,7340,2228998,4930,-1540,3289,-1085,3703,-4421,-2478,-516,-440,1806,470,-772,3288,-341,2669,963,-134963.612576832
677,67.7,6168,2232873,3745,3745,1230,3469,-2425,-1487,-3810,-146,-2241,-4998,2110,-2535,-71,8760,-2092,-1287,-134963.612576832
678,67.8,9583,2220751,8323,10341,7059,9328,1302,1577,741,-29,-1731,-1036,-1068,3694,-4648,3696,866,178,-134268.563280891
679,67.9,7886,2215948,7924,5667,3942,5582,1745,2595,-2472,1226,311,-540,-4508,-1019,1290,3934,143,-565,-134268.563280891
680,68,8526,2229194,8779,5292,2188,7910,673,-2397,-1024,-1231,-2810,-785,-2162,-3376,-297,6223,-209,3045,-135658.661872774
681,68.1,4024,2256268,4934,3973,6088,2633,952,-3241,-1491,1761,-620,-2458,-1625,4586,330,4101,350,-637,-134268.563280891
682,68.2,5787,2225979,6386,4698,2325,2438,-1285,-2016,-3245,-5205,-1278,618,-3777,4671,3189,-4041,97,235,-135311.137224803
683,68.3,4677,2232646,6102,5466,4482,4057,1911,705,336,-594,1696,-2323,-313,-68,3415,-768,786,1111,-135311.137224803
684,68.4,6587,2202133,8991,8519,5328,6120,-215,-355,-1330,-1117,-138,1658,2028,-1330,1367,-1436,566,1575,-134268.563280891
685,68.5,5922,2227767,6275,1140,3277,-27,-129,1373,-574,-1146,3816,-1172,-1609,-473,1841,-438,1094,-202,-134268.563280891
686,68.6,2675,2248005,3511,7045,1517,3063,1296,280,-1496,3047,-902,-2549,-1195,1180,-912,-354,1133,-381,-134268.563280891
687,68.7,5102,2253155,6257,3187,4926,4606,-169,1528,-531,-2487,-239,3579,2102,-532,-2776,599,1132,-1344,-134268.563280891
688,68.8,5772,2230265,8040,5250,4456,6116,1991,-218,580,4888,367,-1977,298,-551,-165,-1483,2801,438,-134268.563280891
689,68.9,5599,2225313,5875,6114,4975,3632,-3914,-1259,1289,2628,961,3129,-2167,280,-2679,866,1601,-4264,-134268.563280891
690,69,9720,2207273,4486,1392,2540,945,-1623,4266,2475,-29,13,2985,-845,-3673,-1339,320,3635,1832,-133921.03863292
691,69.1,7525,2224198,6397,3254,2962,2446,2041,1594,1687,2575,1130,3,753,-375,-725,3848,1999,1559,-133921.03863292
692,69.2,4471,2262147,6243,4067,3866,2346,3581,-520,-1514,-3014,-565,1344,3889,-4005,-4700,1784,6003,-4484,-133573.513984949
693,69.3,11219,2230348,11028,7986,4673,8777,3182,-1254,-4205,-1496,684,-973,1837,410,2900,-752,-708,4273,-133225.989336979
694,69.4,7261,2265197,9041,2119,4774,5872,810,2445,676,-353,1583,5160,-2164,-1503,335,2066,3200,1013,-133225.989336979
695,69.5,6532,2183883,9025,10005,9290,8320,-134,-1706,-760,3152,3051,-1388,-787,-826,-286,-585,-1048,1511,-132878.464689008
696,69.6,4350,2222014,4373,1968,4144,3185,1431,160,981,-1000,621,-227,781,1701,1941,1590,1605,-28,-133573.513984949
697,69.7,6613,2220802,7144,5584,2777,412,-625,-661,-1122,1129,-2241,-4810,1089,-582,-1423,184,1512,984,-133573.513984949
698,69.8,9960,2205685,7823,8549,6361,4755,1335,1011,905,1303,3976,-1993,-671,-114,-1121,604,3398,-2998,-133225.989336979
699,69.9,3883,2225817,6570,5240,8520,4668,3843,-3110,-2554,-239,-808,1620,2614,-853,918,-792,-146,-1583,-132878.464689008
700,70,3962,2252937,4730,-192,1514,3182,646,-514,-2842,202,1469,-1044,-3828,-43,-637,-909,-6082,-3432,-132530.940041037
701,70.1,2007,2260922,4967,2440,635,-478,3533,-801,2495,-970,-732,1695,-2337,-3094,-552,5240,-2007,1089,-132530.940041037
702,70.2,8932,2232465,7959,8214,8045,7467,852,747,-911,1845,3664,1712,895,215,-1770,-937,-1133,-279,-132530.940041037
703,70.3,2095,2236074,818,-1579,1279,-2705,2077,-338,-1759,3101,3393,-420,-188,-1525,-730,782,318,2317,-132530.940041037
704,70.4,7212,2190652,5303,5912,462,2232,-1127,1285,1217,-586,2454,4870,1139,5176,-1062,-1123,213,1832,-131835.890745096
705,70.5,1723,2228900,2205,-823,1866,3110,-5235,750,946,3308,-2356,-1986,3324,3744,-922,-1423,-2177,817,-131835.890745096
706,70.6,73,2227063,1803,896,-710,-2244,2292,-2569,726,4204,-163,-170,-1504,-1732,-1553,2214,1361,87,-131835.890745096
707,70.7,1352,2276496,5991,749,189,-425,-3247,-3908,-342,386,198,350,-275,-754,-1483,-607,285,1202,-132878.464689008
708,70.8,6243,2233624,3366,1960,3082,2255,-9,-643,-268,-436,-1047,627,-5800,784,-510,205,-4019,-4313,-133225.989336979
709,70.9,6883,2209352,10757,5027,3879,7969,-1275,-2925,342,-425,2983,-1650,-2061,-6133,1140,-1634,2708,2290,-131835.890745096
710,71,785,2205621,585,-1545,-2737,-4559,4026,942,920,-24,457,-2313,444,-4936,978,-2087,-2330,2688,-132530.940041037
711,71.1,9383,2221236,12163,7829,5517,4505,2720,-996,3441,5245,1296,-2327,-414,-3572,-2429,1463,2884,2436,-132530.940041037
712,71.2,2788,2257608,1261,3704,778,2093,572,349,-3331,4810,3001,172,-1108,365,-2535,2505,4755,2816,-131835.890745096
713,71.3,5135,2233710,7631,2209,6502,2239,-1568,-1800,1495,582,1064,783,-1490,-391,-1547,1233,1378,-953,-131835.890745096
714,71.4,6825,2271420,8345,6314,8317,7807,25,-48,-334,-351,369,-3130,353,3405,749,-2180,3777,3203,-131488.366097125
715,71.5,8719,2220166,12317,8714,7391,5031,577,105,-2610,1759,2232,-1137,-1438,1877,-138,3191,-1272,-35,-131488.366097125
716,71.6,2023,2224319,1045,-1632,-3311,-1250,-1343,-1878,-750,2078,-971,3238,162,2067,-1143,2968,2668,-415,-132878.464689008
717,71.7,6219,2213005,4221,3442,1865,6402,1792,-1865,-187,-600,-1765,1057,-1866,-3015,1558,87,177,-838,-131488.366097125
718,71.8,8839,2224961,7472,4569,1136,5973,395,-1489,17,5561,-129,404,314,-2676,-3787,-93,3322,-1572,-131488.366097125
719,71.9,6233,2219055,1450,1280,-3046,2163,2317,-1122,-711,-1780,-44,231,827,-3744,-796,784,-1658,1139,-131835.890745096
720,72,-1230,2221094,-2637,-3478,-2482,-2217,2534,2734,-1897,1194,-463,-2933,-2160,3223,1996,1618,2772,-217,-131488.366097125
721,72.1,4698,2252167,6651,3433,5018,4474,-3720,-1776,2068,-1685,684,2234,-488,-2819,-276,1921,-1414,-3462,-131488.366097125
722,72.2,4646,2242105,3966,2189,4247,4191,1844,-3540,-2064,-489,1294,-3707,-2798,1319,-1512,2848,60,-659,-131140.841449154
723,72.3,3610,2220945,7299,4129,2509,975,-3,-3780,1297,761,379,-540,1285,-2506,-990,-248,775,1152,-131140.841449154
724,72.4,5566,2191791,5802,5984,7793,6161,-42,-242,-1365,979,-1108,-358,-1562,1184,3082,1799,2868,1574,-131835.890745096
725,72.5,1286,2251782,1520,227,6154,-416,-1528,-1416,-2024,1685,193,1344,-1439,857,760,4562,-1375,-541,-131835.890745096
726,72.6,8972,2247614,7336,7072,7564,4160,2451,5206,-1695,1003,1843,272,-272,-277,-1200,-759,-773,-2026,-130098.267505242
727,72.7,7798,2277496,6572,8399,4480,7174,723,-673,755,-968,-1163,368,-3005,-1129,-1461,-1835,-3488,-4314,-130098.267505242
728,72.8,11842,2215718,9660,8737,12112,10170,-1676,-636,-379,-1237,3411,2253,-1724,-458,3099,6300,-2647,-2104,-131140.841449154
729,72.9,4300,2198605,4360,1567,4036,1085,-1032,-1461,3388,1129,-310,-1200,-675,915,2287,2115,1820,-3279,-131140.841449154
730,73,7008,2196158,6072,6751,7917,7880,-170,138,-1859,432,-1316,908,1530,3043,-1473,969,-652,3356,-130445.792153213
731,73.1,5849,2220709,2217,3019,3087,2312,295,213,-1338,918,1873,-8452,149,-2365,2484,-1135,-5592,-1488,-130445.792153213
732,73.2,4434,2249259,965,-269,3508,3532,-2484,-1453,-880,-4427,2851,886,-2492,2531,2614,-311,-1643,1064,-130793.316801183
733,73.3,7771,2246579,5834,4358,9413,8296,-2167,290,-890,2335,-1495,-984,-3737,1044,-1338,487,-1154,-2528,-130793.316801183
734,73.4,4085,2249034,8119,6806,4540,7382,-710,2225,-379,167,-491,6503,-5084,-3694,1179,2517,-170,1332,-130098.267505242
735,73.5,6955,2204702,2300,1583,7713,5239,-2736,3308,-1919,-1173,-104,5885,-2640,2352,904,976,2868,-3763,-130098.267505242
736,73.6,5065,2221626,5501,215,3403,2293,-34,-310,-287,544,-2399,1456,4129,-1723,-5061,1904,1184,-36,-130445.792153213
737,73.7,2942,2219376,3814,-143,1832,2477,2931,-1336,-4475,3021,1888,-3149,1508,1501,-4148,1840,-2783,-2055,-130445.792153213
738,73.8,3457,2219963,-1836,-937,-1526,2704,1768,-1041,-1769,-774,2865,974,-39,2553,-189,-625,1898,1432,-129403.2182093
739,73.9,6396,2243122,4715,4619,4291,4219,-3348,1589,-1818,623,382,-2738,-119,1814,-730,2506,42,1053,-130098.267505242
740,74,3430,2230464,1997,-758,-1493,-3251,164,14,-1968,-3702,392,-2290,1720,1714,3201,1660,4200,707,-129403.2182093
741,74.1,622,2231241,-917,1569,383,1512,-1210,751,-3192,-1361,2228,-4728,-3509,-1052,1981,1799,-1827,-715,-129403.2182093
742,74.2,4952,2212749,9344,5496,8538,8209,-1021,2235,217,1040,-1569,1548,34,-1604,-816,3332,3382,949,-129403.2182093
743,74.3,5955,2241332,5208,2096,3175,1388,3137,271,-2405,2603,343,4155,1033,1784,2003,2085,-1235,2450,-129055.69356133
744,74.4,6108,2192030,3908,2730,3046,3619,3413,1592,-1408,3742,108,673,-978,3560,-105,1540,1032,-568,-129055.69356133
745,74.5,1980,2240643,3262,-493,-1605,-3243,1143,-1306,1044,2434,2464,-1461,-4099,171,-524,157,-2701,-482,-130098.267505242
746,74.6,-37,2236600,5470,1167,1748,4685,3811,-1519,-2241,-1743,1337,-1164,543,-2987,-2091,151,-3792,1436,-128708.168913359
747,74.7,11398,2284950,8743,7549,5141,6297,-551,-2893,1694,-174,411,-991,2754,1527,2372,-1208,-2015,1011,-128708.168913359
748,74.8,1455,2220477,4342,2161,-3027,-452,1115,-1957,617,-1341,1037,1532,73,233,-4170,-990,82,-743,-128708.168913359
749,74.9,6543,2236925,3597,-655,3003,44,-2564,2720,-6,-1245,-611,-811,-501,-2248,-2267,-3225,1953,-648,-129403.2182093
750,75,6993,2192916,7305,4117,7849,5521,-875,-2124,-2307,-202,1676,305,-3017,1029,-1265,531,2974,2172,-129403.2182093
751,75.1,-32,2215025,3462,999,2148,2003,1912,829,-2953,775,-892,1004,-760,-3925,2659,2770,6791,3968,-128708.168913359
