sep=;
Number;Time 80Se;80Se;Time 117Sn;117Sn;Time 122Sn;122Sn;Time 124Sn;124Sn;Time 121Sb;121Sb;Time 125Te;125Te
27;4.915;824880.086528823;4.947;166.667458337094;5.009;100.000285000812;5.041;133.333840001925;4.978;166.667458337094;5.072;766.683418699365
28;5.103;776895.703710882;5.134;200.001140006498;5.197;33.3333650000301;5.228;200.001140006498;5.166;366.670498373375;5.26;566.675818481135
29;5.291;781423.626267692;5.322;233.334885010319;5.385;166.667458337094;5.416;66.666793333574;5.353;366.670498373375;5.447;866.688073862091
30;5.478;780099.96142434;5.51;133.333840001925;5.573;33.3333650000301;5.604;266.668693348736;5.541;333.336500030084;5.635;666.679333574005
31;5.666;803836.2509691;5.698;200.001140006498;5.761;33.3333650000301;5.792;33.3333650000301;5.729;500.007125101533;5.823;600.010260175449
32;5.854;754099.319071843;5.886;266.668693348736;5.948;66.666793333574;5.98;200.001140006498;5.917;300.002565021931;6.011;500.007125101533
33;6.042;851647.998968626;6.073;266.668693348736;6.136;100.000285000812;6.168;300.002565021931;6.105;366.670498373375;6.199;466.672873415883
34;6.23;802092.429858466;6.261;233.334885010319;6.324;33.3333650000301;6.355;133.333840001925;6.293;233.334885010319;6.387;600.010260175449
35;6.418;737967.957937018;6.449;200.001140006498;6.512;100.000285000812;6.543;166.667458337094;6.481;300.002565021931;6.575;700.013965278607
36;6.606;776686.750267817;6.637;366.670498373375;6.7;100.000285000812;6.731;166.667458337094;6.668;333.336500030084;6.762;300.002565021931
37;6.793;749369.656738753;6.825;200.001140006498;6.888;66.666793333574;6.919;166.667458337094;6.856;166.667458337094;6.95;600.010260175449
38;6.981;839482.175065687;7.013;33.3333650000301;7.075;33.3333650000301;7.107;133.333840001925;7.044;400.004560051985;7.138;233.334885010319
39;7.169;727754.306689152;7.201;66.666793333574;7.263;0;7.295;100.000285000812;7.232;266.668693348736;7.326;366.670498373375
40;7.357;802336.554612995;7.388;166.667458337094;7.451;33.3333650000301;7.482;200.001140006498;7.42;266.668693348736;7.514;566.675818481135
41;7.545;730567.690567323;7.576;233.334885010319;7.639;66.666793333574;7.67;33.3333650000301;7.607;333.336500030084;7.702;633.344765206345
42;7.732;811650.650131352;7.764;166.667458337094;7.827;33.3333650000301;7.858;300.002565021931;7.795;500.007125101533;7.889;666.679333574005
43;7.92;799198.060896356;7.952;200.001140006498;8.014;66.666793333574;8.046;300.002565021931;7.983;566.675818481135;8.077;500.007125101533
44;8.108;747387.742983997;8.14;200.001140006498;8.202;66.666793333574;8.233;133.333840001925;8.171;200.001140006498;8.265;733.348660320334
45;8.296;767321.171836053;8.327;400.004560051985;8.39;33.3333650000301;8.421;200.001140006498;8.359;300.002565021931;8.453;800.018240415881
